Assist Help,Assist Teacher,Bashful Dopey,Bashful Dwarves,Bashful Shy,Before After,Before Previous,Before Yesterday,Beginning End,Beginning New,Beginning Start,Body Arm,Body Fat,Body Muscle,Break Destroy,Break Fix,Break Glass,Car Auto,Car Boat,Car Drive,Casual Clothes,Casual Dress,Casual Formal,Challenge Compete,Challenge Hard,Challenge Task,Chowder Clam,Chowder Puppy,Chowder Soup,Cinema Film,Cinema Movie,Cinema Theater,Closed Door,Closed Minded,Closed Open,Cloth Clothes,Cloth Fabric,Cloth Material,Common Normal,Common Ordinary,Common Uncommon,Computer Disc,Computer Keyboard,Computer Program,Dancer Ballet,Dancer Music,Dancer Singer,Difficult Easy,Difficult Hard,Difficult Test,Melody Music,Melody Song,Melody Tune,Organize Clean,Organize Neat,Organize Plan,Pupil Eye,Pupil Student,Pupil Teacher,Record
4,1,1,1,4,4,4,2,4,2,4,2,3,2,4,3,2,4,2,3,2,5,1,4,4,2,4,2,1,4,4,1,3,3,5,2,3,3,2,3,2,4,4,3,4,2,1,1,5,5,5,2,3,3,3,3,5,1,1,6
3,4,3,5,1,5,3,5,5,4,5,1,5,3,2,3,2,5,1,5,5,5,3,3,4,4,5,2,4,2,5,3,5,1,5,4,5,3,2,3,4,5,5,5,5,4,3,4,5,,5,3,3,4,2,5,3,2,2,7
4,1,1,1,4,1,2,1,5,1,2,2,4,2,1,2,1,5,2,4,5,2,1,1,5,2,3,1,4,4,4,4,1,3,3,5,4,4,5,4,4,4,5,4,4,5,2,2,5,2,4,4,4,4,4,4,3,3,1,8
4,1,2,1,5,3,2,2,4,4,5,1,2,3,3,2,3,5,1,5,2,5,1,1,2,4,5,1,5,5,5,4,3,2,2,5,4,3,3,4,2,3,4,5,4,3,1,1,5,1,5,5,2,4,3,1,3,2,1,9
4,2,1,1,4,5,5,2,4,4,4,3,4,4,4,3,3,4,1,4,1,2,1,3,4,2,4,1,2,2,4,4,2,5,4,5,4,3,3,5,4,3,3,1,2,4,3,2,5,2,3,3,1,5,4,4,5,4,1,10
4,5,1,1,3,2,3,5,4,2,5,4,2,3,3,3,1,5,3,5,2,2,1,2,5,1,5,1,1,1,5,3,1,1,4,5,5,4,5,4,2,1,5,2,4,2,2,1,5,1,5,1,5,3,4,3,5,3,1,11
3,4,,3,3,5,1,1,5,2,1,2,4,3,4,4,3,2,2,2,4,3,3,4,1,2,3,2,2,4,4,4,3,2,5,4,3,3,4,3,4,2,3,4,4,3,4,5,1,1,4,3,3,4,4,4,2,2,5,12
3,1,1,2,3,5,3,2,2,3,4,2,2,3,4,1,1,1,2,4,1,1,4,1,2,2,2,1,2,1,4,5,1,3,5,4,3,2,2,1,3,2,4,4,1,4,3,1,5,1,5,4,1,3,3,2,2,4,4,13
5,5,4,1,4,2,5,3,3,5,5,4,4,4,5,4,4,4,2,5,4,3,2,3,4,5,5,1,5,4,4,5,3,5,2,4,4,4,4,4,5,5,5,4,5,4,5,2,5,4,4,5,5,4,5,5,5,4,5,14
5,3,1,1,2,2,3,3,2,4,5,2,2,2,3,2,3,3,2,3,3,3,1,4,4,1,2,1,2,5,3,3,2,1,3,3,3,4,4,3,2,2,4,3,4,3,3,2,5,3,4,4,3,4,5,2,4,2,1,15
5,1,4,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,3,5,3,3,2,2,5,2,5,1,5,5,5,3,5,3,5,5,5,5,3,5,5,4,4,3,5,5,3,3,5,4,2,3,5,5,5,5,5,3,3,16
1,5,2,3,3,3,4,3,5,3,4,5,5,5,4,3,3,3,1,4,3,3,3,3,3,3,5,1,5,3,5,3,5,5,3,3,5,5,5,3,3,5,5,5,3,3,3,1,4,5,3,5,3,4,4,3,5,3,2,17
3,1,2,2,4,5,3,1,5,3,5,4,2,2,3,5,3,3,4,4,4,4,5,2,5,2,5,1,4,3,4,2,5,2,5,4,3,2,3,3,4,2,3,2,4,2,1,5,5,2,4,4,3,3,3,4,4,4,3,18
3,1,1,3,4,5,3,2,4,1,3,2,3,1,2,4,1,3,2,4,3,3,2,2,2,2,3,1,3,3,3,2,3,2,4,1,3,2,2,2,3,2,2,4,2,2,2,4,4,1,3,3,2,2,4,3,1,5,2,19
4,1,1,3,4,1,2,1,2,2,4,1,2,2,2,1,1,1,1,3,3,2,3,1,4,4,3,1,2,2,4,4,1,1,2,2,2,2,4,2,1,2,3,3,3,2,1,2,5,1,3,3,3,2,3,2,4,1,2,20
4,2,1,3,5,2,4,2,1,5,5,4,2,4,5,2,4,3,1,4,3,2,1,5,5,2,2,1,1,4,5,5,2,3,1,3,3,1,5,5,2,2,5,4,4,4,1,1,5,2,3,4,4,3,3,5,3,3,2,21
4,1,1,1,2,4,1,1,4,2,2,1,1,1,2,3,2,3,1,2,1,2,2,2,2,1,3,1,1,3,4,2,2,2,5,2,2,3,1,1,3,1,1,3,2,1,1,4,4,1,4,3,2,1,1,1,3,3,3,22
4,2,2,1,4,5,5,1,4,4,4,2,2,3,4,4,2,4,2,5,4,3,2,3,3,2,4,2,2,3,3,3,2,4,3,2,2,2,3,3,3,2,4,2,2,2,1,5,5,3,3,2,2,3,4,3,3,2,2,23
4,2,2,3,4,4,2,3,4,4,2,2,3,3,3,3,1,3,1,3,2,3,2,1,3,1,2,2,2,2,4,3,2,3,2,3,2,2,3,2,3,3,2,4,2,4,4,2,3,1,4,3,4,3,3,3,5,2,1,24
4,2,3,2,5,5,5,4,4,3,5,3,4,3,4,3,3,4,2,4,4,5,3,4,3,3,4,1,2,2,2,4,3,3,5,5,5,4,2,4,2,3,4,3,3,3,2,4,4,4,4,2,2,5,3,3,4,1,3,25
5,2,2,1,4,5,3,3,5,3,3,2,3,4,4,3,2,5,1,4,4,3,1,2,3,1,5,1,5,2,4,3,4,3,4,4,4,4,4,5,4,4,5,4,2,3,1,3,4,3,2,3,4,5,4,5,4,4,3,26
2,2,4,1,1,5,5,2,5,3,3,3,3,2,3,3,1,1,3,3,2,1,5,1,3,2,4,1,1,3,3,3,2,1,5,3,3,4,3,3,5,2,2,2,3,1,4,5,3,1,3,3,3,2,5,3,3,1,1,27
5,3,5,1,4,,3,2,4,4,5,3,5,1,4,2,1,5,1,3,4,3,1,2,5,2,4,1,4,5,5,4,4,1,2,5,2,5,4,4,2,4,5,5,4,3,2,1,4,4,5,4,2,5,4,2,4,4,1,28
5,3,1,1,5,5,5,1,5,3,5,3,5,4,5,2,5,5,1,4,1,1,1,4,5,1,1,4,1,5,5,5,1,1,1,5,5,5,1,1,1,5,5,1,3,3,3,2,5,3,5,4,3,5,5,3,5,1,1,29
5,1,5,1,4,5,4,1,5,2,3,1,5,2,3,4,3,4,1,3,2,1,5,3,2,3,5,1,4,4,4,5,5,1,3,2,5,4,2,2,2,2,5,4,2,3,4,4,5,2,4,4,3,4,5,1,5,1,1,30
1,3,2,1,2,3,2,3,3,2,1,2,4,2,2,4,4,2,1,3,4,4,1,1,3,2,2,1,3,4,4,4,2,4,4,2,2,3,2,2,2,5,3,4,4,3,3,2,2,1,4,3,4,4,2,3,2,1,2,31
3,3,1,3,3,5,3,2,5,2,5,2,3,2,5,5,3,3,5,3,5,2,4,3,4,2,3,1,3,2,4,5,2,2,5,3,3,4,4,3,5,1,3,5,3,4,4,5,4,2,3,4,2,4,4,2,5,1,2,32
4,2,2,2,3,5,4,2,5,2,4,2,3,2,4,5,4,5,1,4,5,3,2,4,4,2,3,1,1,3,2,3,2,3,5,3,3,2,4,3,5,3,4,4,2,4,2,5,5,4,4,5,2,4,4,3,3,1,5,33
3,2,1,1,3,5,1,1,5,1,3,1,2,1,1,1,1,1,1,3,3,2,2,1,2,1,5,1,1,2,4,2,2,2,3,5,1,1,2,1,1,1,1,2,1,2,2,1,2,3,2,2,1,2,2,2,5,1,1,34
4,2,1,1,4,4,3,1,3,2,4,1,2,2,2,4,2,3,1,2,3,2,2,2,3,2,3,3,2,3,3,3,2,1,4,3,3,4,2,3,3,1,2,2,3,2,3,4,5,4,3,3,2,2,4,2,5,1,1,35
5,3,2,1,3,4,4,5,4,3,4,2,5,2,4,4,4,3,1,4,5,2,3,3,3,2,1,1,3,3,3,5,4,3,3,3,4,4,5,2,4,3,5,5,5,4,4,1,5,4,5,4,4,5,5,4,5,3,1,36
5,1,1,3,5,5,3,3,5,4,4,2,2,2,4,4,2,3,1,3,2,3,4,2,3,2,4,1,4,4,4,4,2,2,5,5,4,3,4,2,2,2,3,4,3,2,3,4,5,3,4,2,3,4,4,3,5,2,1,37
5,2,1,3,5,5,4,4,5,3,5,5,3,2,4,3,4,4,1,5,4,5,3,4,5,1,5,1,3,3,4,4,3,3,5,5,4,5,3,4,2,1,5,3,5,4,2,3,5,3,5,3,3,5,5,3,5,2,3,38
5,2,1,1,5,5,3,2,5,3,5,2,5,2,3,5,2,5,1,5,3,4,3,1,2,4,5,1,1,5,3,2,3,5,5,2,2,3,1,3,5,2,3,3,4,1,1,2,5,2,2,2,2,5,4,5,2,1,1,39
